Acousticness,Danceability,Energy,Genre,Instrumental,Key,Liveness,Loudness,Speechness,Tempo,Valence
0.00686,0.609,0.964,rock,0,0,0.723,-2.088,0.114,144.076,0.401
0.0446,0.673,0.948,rock,2.21E-06,11,0.303,-2.038,0.0323,119.895,0.858
0.0912,0.604,0.794,rock,0,9,0.108,-3.753,0.0583,149.134,0.541
0.0154,0.557,0.892,rock,0,2,0.523,-2.638,0.038,135.031,0.698
0.0335,0.6,0.911,rock,0,11,0.106,-3.486,0.0326,119.86,0.546
0.00396,0.573,0.876,rock,0,7,0.408,-8.107,0.0679,148.273,0.892
0.262,0.73,0.84,rock,2.07E-06,5,0.0296,-5.357,0.133,189.282,0.952
0.0305,0.673,0.79,rock,0,7,0.147,-6.989,0.0417,117.992,0.514
0.0161,0.479,0.961,rock,0,2,0.491,-1.233,0.0738,145.281,0.568
0.0197,0.705,0.816,rock,0,11,0.0845,-5.263,0.0524,77.526,0.724
0.00635,0.567,0.936,rock,0.0457,11,0.351,-2.734,0.0409,140.02,0.432
0.0454,0.678,0.876,rock,0,0,0.276,-3.066,0.098,81.247,0.713
0.0454,0.678,0.876,rock,0,0,0.276,-3.066,0.098,81.247,0.713
0.0446,0.673,0.948,rock,2.21E-06,11,0.303,-2.038,0.0323,119.895,0.858
0.0197,0.705,0.816,rock,0,11,0.0845,-5.263,0.0524,77.526,0.724
0.000549,0.32,0.818,rock,0.00185,2,0.193,-5.328,0.0361,182.088,0.681
0.4,0.776,0.806,rock,0,6,0.121,-2.588,0.141,116.973,0.871
0.0776,0.649,0.946,rock,0,10,0.0825,-4.737,0.133,106.957,0.514
0.021,0.653,0.826,rock,0,1,0.075,-7.417,0.0401,92.947,0.964
0.00359,0.398,0.899,rock,0,9,0.399,-5.295,0.047,154.67,0.475
0.0103,0.262,0.745,rock,0.00347,11,0.117,-5.917,0.0666,142.835,0.132
0.00134,0.519,0.818,rock,0.000122,0,0.338,-5.728,0.0403,124.37,0.583
0.0311,0.426,0.535,rock,0,0,0.364,-7.469,0.037,124.724,0.539
2.30E-05,0.497,0.983,rock,0,10,0.433,-2.759,0.0675,130.011,0.401
0.0579,0.582,0.729,rock,0,4,0.229,-5.004,0.0281,98.98,0.598
0.0031,0.577,0.879,rock,3.87E-05,0,0.0857,-5.916,0.0316,119.558,0.779
0.0208,0.528,0.887,rock,2.48E-06,0,0.104,-5.679,0.0817,186.015,0.816
0.0943,0.576,0.909,rock,0,1,0.387,-3.294,0.0376,100.328,0.896
0.00823,0.56,0.848,rock,0,6,0.289,-6.234,0.046,96.029,0.588
0.0678,0.488,0.933,rock,0,11,0.121,-1.924,0.0546,89.814,0.663
0.00278,0.59,0.807,rock,0.0224,2,0.0842,-7.585,0.0315,135.918,0.608
0.000183,0.377,0.912,rock,0.000348,8,0.0531,-5.103,0.0414,170.408,0.581
0.0364,0.519,0.707,rock,0,3,0.0616,-5.597,0.0305,72.676,0.167
0.273,0.689,0.615,rock,0,9,0.37,-5.251,0.0611,86.005,0.586
0.0199,0.44,0.604,rock,9.50E-06,4,0.123,-6.358,0.0357,136.771,0.259
0.874,0.556,0.277,rock,0,5,0.129,-7.696,0.0389,115.76,0.212
0.109,0.719,0.556,rock,0,1,0.156,-7.05,0.0238,94.992,0.766
0.0416,0.449,0.34,rock,3.70E-05,7,0.114,-12.288,0.0369,128.355,0.0982
0.00958,0.581,0.753,rock,2.16E-06,9,0.149,-4.116,0.0265,91.019,0.408
0.637,0.66,0.759,rock,0,2,0.441,-5.67,0.0521,142.98,0.612
0.0454,0.678,0.876,rock,0,0,0.276,-3.066,0.098,81.247,0.713
0.00507,0.584,0.914,rock,1.27E-05,2,0.0678,-6.103,0.0379,136.555,0.868
0.172,0.548,0.84,rock,0,0,0.191,-5.377,0.07,118.735,0.42
0.37,0.776,0.646,hiphop,1.96E-05,2,0.0579,-4.678,0.0308,107.009,0.831
0.57,0.479,0.549,hiphop,0.0239,11,0.127,-10.551,0.373,180.985,0.576
0.141,0.835,0.74,hiphop,3.78E-06,5,0.0797,-3.838,0.0427,108.018,0.954
0.0194,0.654,0.655,hiphop,4.09E-05,3,0.2,-3.165,0.0766,199.997,0.926
0.0456,0.763,0.603,hiphop,0.00507,0,0.0539,-5.01,0.0373,103.036,0.95
0.58,0.601,0.681,hiphop,0,9,0.0934,-5.171,0.324,98.078,0.546
0.307,0.741,0.762,hiphop,0,10,0.318,-6.089,0.0346,102.965,0.784
0.448,0.747,0.666,hiphop,6.90E-06,11,0.0974,-4.607,0.0331,104.003,0.931
0.119,0.671,0.883,hiphop,0,7,0.0401,-3.533,0.0539,124.94,0.907
0.00904,0.874,0.807,hiphop,0.000755,6,0.675,-6.73,0.265,139.999,0.922
0.336,0.877,0.738,hiphop,0,0,0.046,-5.151,0.0967,107.016,0.878
0.0866,0.401,0.397,rock,0.00237,7,0.113,-12.719,0.0329,174.374,0.489
0.00903,0.492,0.817,rock,0,7,0.668,-6.404,0.0332,100.888,0.698
0.0677,0.427,0.744,rock,0.571,4,0.266,-5.943,0.0309,131.623,0.574
0.317,0.628,0.494,rock,1.61E-05,9,0.12,-13.599,0.038,174.628,0.911
0.0764,0.398,0.742,rock,0.000536,0,0.207,-4.682,0.0332,141.263,0.495
0.000758,0.469,0.497,rock,0.000524,2,0.213,-6.786,0.0268,79.63,0.297
0.0035,0.436,0.792,rock,0.000193,7,0.243,-5.441,0.0355,133.043,0.79
0.00713,0.667,0.918,rock,0.0563,11,0.281,-6.879,0.0383,133.212,0.914
0.0545,0.35,0.596,rock,0.00288,2,0.154,-6.783,0.0262,90.171,0.314
0.0364,0.433,0.743,rock,0.000913,7,0.186,-4.703,0.0296,101.73,0.275
0.0446,0.625,0.735,rock,0.00153,9,0.0757,-5.237,0.0365,108.258,0.836
0.00406,0.737,0.711,rock,0.0473,7,0.197,-8.546,0.0284,117.571,0.806
0.555,0.516,0.575,rock,0.00839,1,0.0886,-6.17,0.0294,121.885,0.46
0.737,0.437,0.332,rock,3.70E-06,2,0.194,-10.173,0.0295,86.289,0.535
0.00131,0.629,0.594,rock,2.66E-05,7,0.262,-12.349,0.0251,116.044,0.961
0.0102,0.672,0.727,rock,6.88E-06,7,0.494,-5.436,0.0297,122.939,0.932
0.132,0.599,0.562,rock,7.28E-05,9,0.248,-7.262,0.0274,119.987,0.497
0.779,0.214,0.269,rock,0.101,4,0.108,-14.31,0.0348,136.698,0.105
0.181,0.437,0.478,rock,5.97E-06,7,0.34,-8.839,0.03,138.142,0.288
0.0633,0.453,0.833,rock,0,2,0.38,-6.371,0.0455,116.767,0.56
0.0711,0.661,0.579,rock,0.000565,0,0.518,-8.148,0.0291,115.967,0.491
0.045,0.671,0.681,rock,2.30E-05,0,0.132,-9.006,0.0286,130.397,0.659
0.165,0.793,0.687,rock,0,9,0.0542,-8.936,0.0326,131.941,0.872
0.536,0.661,0.33,rock,0,7,0.263,-11.02,0.0383,79.23,0.603
0.0237,0.593,0.813,rock,0.00286,3,0.0658,-9.387,0.0544,126.328,0.699
0.385,0.576,0.699,rock,1.38E-05,10,0.129,-8.117,0.0366,108.554,0.383
0.221,0.665,0.462,rock,0.000361,5,0.123,-10.651,0.0273,94.005,0.305
0.0753,0.553,0.439,rock,0,9,0.0881,-11.559,0.0888,172.802,0.816
0.176,0.697,0.599,rock,0.134,4,0.104,-11.165,0.0428,154.897,0.914
0.129,0.652,0.707,rock,0.000374,7,0.176,-10.63,0.118,109.82,0.779
0.00707,0.606,0.753,rock,0,0,0.0305,-9.335,0.0312,120.267,0.859
0.604,0.386,0.627,rock,1.77E-06,2,0.259,-7.502,0.0512,69.864,0.532
0.0206,0.603,0.688,rock,0.00511,2,0.265,-8.087,0.0376,98.394,0.777
0.0782,0.767,0.491,rock,0.65,9,0.0958,-8.527,0.0269,106.629,0.366
0.375,0.526,0.476,rock,0.00076,11,0.583,-8.869,0.0248,164.119,0.406
0.683,0.522,0.62,rock,0,0,0.793,-8.507,0.349,177.85,0.796
0.601,0.591,0.931,rock,0.000175,4,0.345,-6.481,0.0401,130.9,0.422
0.0455,0.556,0.877,rock,3.39E-06,9,0.143,-7.04,0.071,119.448,0.399
0.00287,0.816,0.601,rock,0.528,7,0.0918,-10.462,0.0347,113.133,0.969
0.00737,0.353,0.56,rock,0.00127,4,0.37,-7.797,0.0287,98.839,0.296
0.00031,0.39,0.729,rock,0.0248,0,0.104,-7.702,0.0288,129.345,0.64
0.0143,0.556,0.695,rock,0,11,0.215,-7.597,0.0293,104.05,0.471
0.126,0.54,0.485,rock,0.000937,5,0.136,-11.074,0.071,120.648,0.743
0.141,0.634,0.911,rock,0,7,0.276,-6.691,0.108,204.077,0.966
0.373,0.713,0.675,rock,2.80E-06,0,0.235,-7.749,0.0335,98.074,0.751
0.000755,0.585,0.725,rock,0.00362,11,0.0915,-8.023,0.12,93.2,0.746
0.0613,0.62,0.718,rock,0.000298,0,0.0375,-12.258,0.0376,134.96,0.913
0.402,0.517,0.393,rock,1.07E-05,0,0.139,-11.171,0.0278,76.321,0.235
0.596,0.67,0.867,rock,0,2,0.39,-5.395,0.441,112.5,0.855
0.231,0.697,0.804,rock,7.08E-06,1,0.0554,-8.607,0.0452,135.345,0.918
0.702,0.822,0.635,rock,0,7,0.0945,-10.832,0.101,120.458,0.719
0.409,0.374,0.426,rock,0,1,0.0853,-9.721,0.047,178.851,0.736
0.478,0.726,0.683,rock,9.93E-06,0,0.177,-9.497,0.0431,105.03,0.92
